Word 1,Word 2,Word 3,Count
ABS,BAT,STY,1
ACE,BOB,SOB,2
ADD,BOY,SEE,2
ADO,BID,SEE,2
ADS,BIT,SPY,2
AGE,BOB,SOB,2
AGO,BOW,SON,2
AID,BRO,SEE,2
AIL,BRO,SET,2
AIM,BRA,SET,2
AIR,BRA,SET,2
ALL,BYE,SET,2
AND,CAY,EYE,2
ANT,COO,EGO,2
ANY,DIE,OPT,2
APE,BEG,SAG,2
APP,BEE,SAG,2
APT,BEE,SEA,2
ARC,COO,EBB,2
ARK,CUE,EGG,2
ARM,BYE,SET,2
ASH,BEE,SAW,2
ASK,BEE,SAG,2
ASP,BEE,SAG,2
AWL,BOY,SEE,2
AYE,BOB,SUB,2
BAD,ACE,DEW,1
BAG,ACE,GEL,3
BAT,ACE,TEA,1
BAY,ACE,GET,6
BED,AGO,DOE,6
BEE,AGO,DON,4
BEG,AGE,DOT,2
BET,AGO,DOE,6
BIB,ACE,DYE,2
BID,ACE,DEW,2
BIG,ACE,GEL,2
BIN,ACE,DEW,2
BIT,ACE,TEA,2
BOB,ADO,DEW,2
BOG,ADO,GET,8
BOT,ADO,YEP,2
BOW,ADO,DEW,2
BOY,ERA,DEW,2
BRA,EAR,GYM,2
BRO,EAR,DYE,4
BUB,ERA,END,4
BUD,ERA,END,2
BUG,USE,BET,3
BUM,ERA,END,2
BUN,USE,BET,3
BUS,ASK,TEA,2
BUT,ERA,END,4
BUY,USE,BET,2
BYE,EAR,DYE,2
CAB,ACE,BED,1
CAD,ACE,DEW,1
CAN,ACE,BET,2
CAP,ACE,BEE,2
CAR,ACE,BED,2
CAT,ACE,PEA,2
CAY,ACE,BET,2
CHI,HAD,IDS,1
COB,ADO,BEG,2
COD,ADO,BEE,4
COG,ADO,BED,4
CON,ADO,BED,4
COO,ADD,BED,2
COP,ADO,BED,2
COT,ADO,BEE,2
COW,ADO,BEE,2
COY,HUE,ITS,2
CRY,AYE,BET,2
CUB,ORE,ONE,2
CUD,USE,DEW,1
CUE,ASK,BEE,2
DAB,ACE,BED,1
DAD,ACE,DEW,1
DAM,ACE,BET,2
DEW,AGE,BOB,2
DID,ACE,DEW,2
DIE,ARK,BEE,2
DIG,ACE,BET,2
DIM,ACE,BET,2
DIN,ACE,BET,2
DIP,ACE,BEE,2
DOE,ADO,MEN,2
DOG,ADO,BED,4
DON,ADO,BED,2
DOT,ADO,BEE,4
DRY,AYE,BET,2
DUB,IRE,END,2
DUD,USE,DEW,1
DUE,ASK,BEE,2
DUG,USE,BET,2
DUO,ASP,BET,2
DYE,ION,DUD,2
EAR,ACE,RED,1
EAT,ACE,TEA,1
EBB,AYE,RED,2
EEL,AGE,ROT,2
EGG,GAY,GYM,1
EGO,BAD,BYE,2
EKE,GIN,ODD,2
ELF,AYE,RED,2
ELK,AYE,REG,2
ELM,BYE,BET,2
EMU,GAS,ODE,2
END,BAY,BYE,2
EON,ADO,RED,2
ERA,BAG,BYE,2
ERE,BAY,BYE,2
ERR,AYE,RED,2
EVE,AIL,RAM,2
EWE,ARK,RYE,2
EYE,BAY,BYE,2
FAD,ACE,DEW,1
FAN,ACE,DEW,2
FAR,ACE,RED,1
FAT,ACE,TEA,1
FED,AGE,NOW,2
FEE,AGO,DON,2
FIB,ACE,DYE,2
FIG,ACE,NET,2
FIR,ACE,RED,2
FIT,ACE,TEA,2
FLY,AYE,NET,2
FOB,ADO,DEW,2
FOE,EAR,EKE,2
FOG,ADO,NET,6
FOR,ADO,DEW,2
FRO,EAR,DYE,2
FRY,AYE,NET,2
FUN,USE,NET,1
FUR,ERA,END,2
GAB,ACE,BED,3
GAG,ACE,BET,3
GAL,ACE,BEG,3
GAM,ACE,BET,2
GAP,ACE,BEE,4
GAS,ACE,BEE,2
GAY,ACE,BET,6
GEL,AGE,BOG,2
GEM,AGE,BOT,2
GET,AGO,BOY,2
GHI,EAR,LYE,2
GIG,ACE,BET,4
GIN,ACE,BET,6
GOB,ADO,BEG,2
GOD,ADO,BEE,6
GOO,ADD,BED,4
GOT,ADO,BEE,6
GUM,USE,MEN,1
GUN,USE,MET,2
GUT,ASH,BEE,2
GYM,YOU,MUD,1
HAD,ACE,DEW,1
HAG,ACE,GEL,1
HAM,ACE,DEW,2
HAT,ACE,TEA,1
HAY,ACE,GET,2
HEM,AGE,DON,2
HER,AGE,DOG,4
HEW,AGE,DOT,2
HEY,AGE,DOT,2
HIM,ACE,DEW,2
HIP,ACE,DYE,2
HIS,ACE,DEW,2
HIT,ACE,TEA,2
HOG,ADO,GET,2
HOP,ADO,DEW,2
HOT,ADO,MEN,2
HOW,ADO,DEW,2
HOY,ERA,MEW,2
HUB,USE,BED,1
HUE,URN,END,1
HUG,USE,BET,2
HUM,USE,BET,2
HUT,USE,TEA,1
ICE,CAB,EBB,1
ICK,CHI,KID,1
ICY,COO,YOU,1
IDS,COO,END,2
ILK,CUE,EGG,2
ILL,COO,EBB,2
IMP,CUE,EGG,2
INK,ROE,EGG,2
INN,COO,EBB,2
INS,COO,EBB,2
ION,ODE,NET,1
IRE,CAN,END,2
IRK,CUE,EGG,2
ITS,CAP,ERA,2
IVY,DIE,SAP,2
JAB,ACE,BED,1
JAM,ACE,BET,2
JAR,ACE,BED,2
JAW,ACE,BED,2
JAY,ACE,BET,2
JET,AGO,BOY,2
JIB,ACE,BED,2
JIG,ACE,BET,2
JOB,ADO,BEG,2
JOE,ADO,MEN,2
JOG,ADO,BED,2
JOT,ADO,BEE,2
JOY,IRE,BET,2
JUG,USE,GEL,1
JUT,ASH,BEE,2
KEG,EGO,GOB,1
KID,ERA,GEM,2
KIN,ERE,GET,2
KIT,ICE,TEA,1
LAB,ACE,BED,1
LAD,ACE,DEW,1
LAG,ACE,BET,4
LAP,ACE,BEE,2
LEG,AGE,BOT,4
LET,AGO,BOY,2
LID,ACE,DEW,2
LIE,ACE,GEL,2
LIP,ACE,BEE,2
LOB,ADO,BEG,2
LOG,ADO,BED,2
LOO,ADD,BED,2
LOP,ADO,BED,2
LOT,ADO,BEE,2
LOW,ADO,BEE,2
LUG,USE,GEL,1
LYE,ION,DUD,2
MAD,ACE,DEW,3
MAN,ACE,DEW,2
MAP,ACE,NET,2
MAT,ACE,PEA,2
MAW,ACE,NET,2
MAY,ACE,NET,2
MEN,AGE,DOT,2
MET,AGO,DOE,2
MEW,AGE,DOT,2
MID,ACE,DEW,6
MOB,ADO,DEW,2
MOD,ADO,NET,6
MOM,ADO,DEW,4
MOO,ADD,PEE,4
MOP,ADO,DEW,8
MOW,ADO,DEW,2
MUD,USE,DEW,1
MUG,USE,GEL,2
MUM,USE,DEW,2
NAB,ACE,BED,1
NAG,ACE,BET,4
NAP,ACE,BEE,2
NAY,ACE,BET,4
NET,AGO,BOY,2
NEW,AGE,BOB,2
NIB,ACE,BED,2
NIL,ACE,BEG,2
NIP,ACE,BEE,4
NIT,ACE,PEA,2
NOB,ADO,BEG,2
NOD,ADO,BEE,2
NOG,ADO,BED,10
NOR,ADO,BED,2
NOT,ADO,BEE,4
NOW,ADO,BEE,2
NUB,USE,BED,1
NUN,USE,BET,3
NUT,ASH,BEE,2
OAF,ACE,FED,1
OAK,ACE,KEG,1
OAR,ACE,FED,2
OAT,ACE,TEA,1
ODD,DIE,DEW,1
ODE,AIR,FEE,2
OFF,AIL,FRY,2
OFT,AIR,FRY,4
OIL,ACE,KEG,2
OLD,DIE,DEW,2
ONE,AIM,FLU,2
OPT,DEW,EGO,2
ORB,AYE,FED,2
ORC,DUO,DEW,2
ORE,DAM,EMU,2
OUR,USE,RED,1
OUT,ASH,FEE,2
OWE,ARK,RYE,2
OWL,DIE,EGG,2
OWN,DOE,DEW,4
PAD,ACE,DEW,2
PAN,ACE,DEW,4
PAR,ACE,RED,2
PAT,ACE,TEA,2
PAW,ACE,NET,2
PEA,EAR,ARC,3
PEE,AGO,DON,4
PEG,AGE,DOT,2
PEN,AGE,DOT,2
PEP,AGE,DOE,2
PER,AGE,DOG,4
PET,AGO,DOE,4
PIE,ELK,EKE,2
PIG,ACE,NET,6
PIN,ACE,DEW,2
PIP,ACE,DYE,2
PIT,ACE,TEA,2
PLY,AYE,NET,2
POD,ADO,NET,4
POM,ADO,DEW,8
POO,ADD,RED,2
POP,ADO,DEW,4
POT,ADO,REP,6
POW,ADO,DEW,2
PRO,EAR,AGE,4
PRY,AYE,NET,2
PUB,ERA,AND,2
PUG,ERA,ANY,2
PUN,ERA,ANY,2
PUP,ERA,AND,2
PUS,ASK,TEA,2
PUT,ERA,AND,2
RAD,ACE,DEW,1
RAG,ACE,GEL,1
RAM,ACE,DEW,2
RAN,ACE,DEW,2
RAP,ACE,GET,4
RAT,ACE,PEA,2
RAW,ACE,GET,2
RAY,ACE,GET,2
RED,AGE,MOW,2
REG,AGE,DOT,2
REP,AGE,DOE,2
RIB,ACE,DYE,2
RID,ACE,DEW,2
RIG,ACE,GEL,2
RIM,ACE,DEW,4
ROB,ADO,DEW,2
ROD,ADO,GET,4
ROE,ADO,MEN,2
ROT,ADO,MEN,2
ROW,ADO,DEW,2
RUB,ORE,END,4
RUE,ASK,PEE,2
RUG,USE,BET,2
RUM,USE,BET,2
RUN,USE,BET,2
RUT,ASH,PEE,2
RYE,EAR,DYE,2
SAC,ADO,COB,1
SAD,ACE,DEW,1
SAG,ACE,GEL,1
SAP,ACE,GET,4
SAT,ACE,PEA,2
SAW,ACE,GET,4
SAY,ACE,GET,4
SEA,ARC,PEE,2
SEC,AGO,COB,2
SEE,AGO,CON,2
SET,AGO,CON,4
SEW,AGE,COB,2
SHE,EAR,AGE,2
SHY,HUE,YEP,1
SIR,ACE,PEG,2
SIT,ACE,PEA,2
SKA,KEG,AGE,1
SKI,KID,ADS,2
SKY,PIE,ADS,2
SLY,AYE,GET,2
SOB,ADO,DEW,2
SOD,ADO,GET,4
SON,ADO,DEW,4
SOP,ADO,DEW,4
SOW,ADO,DEW,2
SOY,ERE,ABS,2
SPA,AID,WED,2
SPY,ERA,COP,2
STY,EWE,COP,2
SUB,ERA,AND,2
SUE,ASK,PEE,2
SUM,ERA,AND,2
SUN,ERA,ANY,2
TAB,ACE,BED,2
TAD,ACE,DEW,1
TAG,ACE,BET,2
TAN,ACE,BET,2
TAP,ACE,BEE,2
TAR,ACE,BED,2
TEA,ARC,BEE,2
THE,EAR,AGE,2
THY,HUE,YEP,1
TIE,ACE,GEL,2
TIN,ACE,BET,2
TOE,ADO,PEN,6
TON,ADO,BED,8
TOO,ADD,BED,2
TOP,ADO,BED,2
TOY,ERE,ABS,2
TRY,AYE,BET,2
TUB,ERA,AND,2
TUG,ERA,ANY,2
TWO,EAR,AGE,2
URN,ROE,NET,1
USE,REG,NAG,2
VAN,ACE,NET,1
VAT,ACE,TEA,1
VET,AGO,TOE,2
VIA,ICY,AYE,1
VIE,ERR,TEA,2
VOW,ADO,NEW,2
WAD,ACE,DEW,1
WAG,ACE,GEL,1
WAR,ACE,RED,1
WAS,ACE,DEW,3
WAY,ACE,GET,2
WEB,AGE,DOE,2
WED,AGE,ROW,4
WET,AGO,DOE,2
WHO,EAR,BYE,2
WHY,HUE,YEP,1
WIG,ACE,GEL,2
WIN,ACE,DEW,2
WIT,ACE,SEA,2
WOE,ANY,SEE,2
WOK,ERE,BEG,2
WON,ADO,DEW,3
WOW,ADO,DEW,2
WRY,AYE,GET,2
YAK,ACE,KEG,1
YAM,ACE,MEN,1
YAP,ACE,KEG,2
YAW,ACE,MET,4
YAY,ACE,MET,3
YEP,AGE,MOP,2
YES,AGE,MOW,2
YET,AGO,MOO,2
YOU,ADS,PEE,2
YUM,USE,MEN,1
YUP,USE,MEN,4
ZAP,ACE,PEA,1
ZIG,ACE,PET,2
ZIP,ACE,PEA,2
ZIT,ACE,PEA,2
ZOO,ADD,PEE,2
